ward,menu_package,address,cost,cost_numeric
4,Pavement Markings Menu (2024),ON S COLUMBUS DR FROM E BALBO DR (700 S) TO E ROOSEVELT DR (1200 S),"$15,000.00",15000.0
4,Sidewalk Menu (2024),4808 S EVANS AVE,"$5,324.91",5324.91
4,Sidewalk Menu (2024),E 8TH ST & S STATE ST,"$28,140.59",28140.59
4,Sidewalk Menu (2024),ON E 48TH ST FROM S WOODLAWN AVE (1200 E) TO S KIMBARK AVE (1300 E),"$1,988.56",1988.56
4,Street Bump Outs Menu (2024),E 48TH ST & S DORCHESTER AVE,"$26,626.81",26626.81
4,Street Bump Outs Menu (2024),E HYDE PARK BLVD & S UNIVERSITY AVE,"$5,620.00",5620.0
4,Street Cul-de-Sac Menu (2024),S GREENWOOD AVE & E HYDE PARK BLVD; 4950 S GREENWOOD AVE,"$5,481.90",5481.9
4,Street Light Upgrade Menu (2024),640 E OAKWOOD BLVD,$500.00,500.0
4,Street Light Upgrade Menu (2024),713 E 43RD ST,$500.00,500.0
4,Street Resurfacing Menu (2024),ON S CHAMPLAIN AVE FROM E 45TH ST (4500 S) TO E 46TH ST (4600 S),"$30,623.88",30623.88
4,Street Resurfacing Menu (2024),ON S HOLDEN CT FROM E 8TH ST (800 S) TO E 11TH ST (1100 S),"$88,379.74",88379.74
4,Street Resurfacing Menu (2024),ON S OAKENWALD AVE FROM E 43RD ST (4300 S) TO E 44TH PL (4430 S),"$102,427.76",102427.76
4,Street Resurfacing Menu (2024),ON S PARK TER FROM 1199 S TO W 9TH ST (900 S),"$82,002.05",82002.05
4,Street Resurfacing Menu (2024),ON S PLYMOUTH CT FROM 1178 S TO W 9TH ST (900 S),"$48,672.61",48672.61
4,Street Resurfacing Menu (2024),ON S PLYMOUTH CT FROM 840 S TO W POLK ST (800 S),"$26,975.29",26975.29
4,Street Speed Hump Menu (2024),ON S INDIANA AVE FROM E 29TH ST (2900 S) TO E 31ST ST (3100 S),"$12,200.00",12200.0
4,Street Speed Hump Menu (2024),ON S LAKE PARK AVE FROM E 44TH PL (4440 S) TO E 47TH ST (4699 S),"$5,790.75",5790.75
4,Street Speed Hump Menu (2024),ON S RHODES AVE FROM E 31ST ST (3100 S) TO E 33RD ST (3300 S),"$12,200.00",12200.0
4,Street Speed Hump Replacement (2024),ON S HOLDEN CT FROM E 8TH ST (800 S) TO E 11TH ST (1100 S),$0.00,0.0
4,Street Speed Hump Replacement (2024),ON S OAKENWALD AVE FROM E 43RD ST (4300 S) TO E 44TH PL (4430 S),$0.00,0.0
4,Street Speed Hump Replacement (2024),ON S PARK TER FROM 1199 S TO W 9TH ST (900 S),$0.00,0.0
5,additional bike racks. Miscellaneous CDOT Projects (2024),1558 E 68TH ST,$660.00,660.0
5,Alley Resurfacing Menu (2024),E 70TH ST & S KIMBARK AVE&S WOODLAWN AVE & E 71ST ST,"$18,956.29",18956.29
5,Alley Resurfacing Menu (2024),S OGLESBY AVE & E 72ND ST&E 73RD ST & S CRANDON AVE,"$38,052.80",38052.8
5,Alley Resurfacing Menu (2024),S WOODLAWN AVE & E 55TH ST&E 56TH ST & S KIMBARK AVE,"$40,634.16",40634.16
5,Installation of two concrete pads at Promontory Point for two,5491 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR NB,"$15,000.00",15000.0
5,Pavement Markings Menu (2024),ON E HYDE PARK BLVD FROM S INGLESIDE AVE (920 E) TO S WOODLAWN AVE (1200 E),"$2,500.00",2500.0
5,Sidewalk Menu (2024),ON E 73RD ST FROM 1148 E TO S UNIVERSITY AVE (1130 E),"$21,749.24",21749.24
5,Street Bump Outs Menu (2024),E HYDE PARK BLVD & S UNIVERSITY AVE,"$15,152.86",15152.86
5,Street Light Residential Staggered Piggy Back Menu (2024),ON S MERRILL AVE FROM E 69TH ST (6900 S) TO E 71ST ST (7100 S),"$161,478.00",161478.0
5,Street Light Residential Staggered Piggy Back Menu (2024),ON S UNIVERSITY AVE FROM E 73RD ST (7300 S) TO E 74TH ST (7400 S); ON E 74TH ST FROM S SOUTH CHICAGO AVE (1100 E) TO S WOODLAWN AVE (1199 E),"$170,500.00",170500.0
5,Street Resurfacing Menu (2024),ON E 65TH ST FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND AVE (1600 E),"$56,391.64",56391.64
