ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
3,Sidewalk Menu (2023),430 E 41ST ST,3571.9,0.002381,41.821284779264,-87.615352779448,380200,1,170313802001
3,Sidewalk Menu (2023),4533 S WABASH AVE,10568.75,0.007046,41.812096201727,-87.624243547965,844600,1,170318446001
3,Sidewalk Menu (2023),4641-4700 S VINCENNES AVE,20043.86,0.013363,41.81002960159,-87.613615210919,381200,2,170313812002
3,Sidewalk Menu (2023),4801 S WABASH AVE,31276.62,0.020851,41.807338968761,-87.624040454451,381400,1,170313814001
3,Sidewalk Menu (2023),4805 S WABASH AVE,3714.25,0.002476,41.807155321262,-87.624058894638,381400,1,170313814001
3,Sidewalk Menu (2023),4807 S WABASH AVE,5499.33,0.003666,41.807120494455,-87.624060654838,381400,1,170313814001
3,Sidewalk Menu (2023),4835 S DR MARTIN LUTHER KING JR DR E,12434.95,0.00829,41.806540592483,-87.615910427466,381200,1,170313812001
3,Sidewalk Menu (2023),4934 S MICHIGAN AVE,37686.88,0.025125,41.804595027028,-87.623154235828,381800,1,170313818001
3,Sidewalk Menu (2023),5000 S PRAIRIE AVE,6652.56,0.004435,41.80349800354,-87.619891999112,381800,2,170313818002
3,Sidewalk Menu (2023),5018 S MICHIGAN AVE,7513.04,0.005009,41.803223454302,-87.623104614961,381800,2,170313818002
3,Sidewalk Menu (2023),4500-4600 S St Lawrence Ave,17793.38,0.011862,41.811135936998,-87.611556167907,381200,2,170313812002
3,Speed Indicator Signs (2023),1200-1600 S Clark St,7479.86,0.004987,41.863845955312,-87.630381105721,330200,2,170313302002
3,Street Light Residential Staggered Piggy Back Menu (2023),1208-1400 S Federal St,29955.78,0.019971,41.863872977842,-87.629691785029,330200,2,170313302002
3,Street Light Upgrade Menu (2023),2138 S INDIANA AVE,500.0,0.000333,41.85321748343,-87.623042169783,330103,3,170313301033
3,Street Light Upgrade Menu (2023),3400 S INDIANA AVE,500.0,0.000333,41.83236754119,-87.622195429924,842000,1,170318420001
3,Street Light Upgrade Menu (2023),3432 S GILES AVE,500.0,0.000333,41.831946727741,-87.619633668857,839500,1,170318395001
3,Street Light Upgrade Menu (2023),421 E 41ST ST,500.0,0.000333,41.819979633121,-87.615771790787,380200,1,170313802001
3,Street Light Upgrade Menu (2023),515 E PERSHING RD,500.0,0.000333,41.823528908111,-87.613502558141,380200,1,170313802001
