ward,menu_package,address,cost,cost_numeric
4,Street Speed Hump Menu (2025),ON E 45TH ST FROM S COTTAGE GROVE AVE (800 E) TO S ELLIS AVE (1000 E),"$7,320.00",7320.0
4,Street Speed Hump Menu (2025),ON E 45TH ST FROM S ELLIS AVE (1000 E) TO S WOODLAWN AVE (1200 E),"$9,760.00",9760.0
4,Street Speed Hump Menu (2025),ON E 48TH ST FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE (634 E),"$2,440.00",2440.0
4,Street Speed Hump Menu (2025),ON E 49TH ST FROM S KIMBARK AVE (1300 E) TO S DORCHESTER AVE (1400 E),"$4,880.00",4880.0
4,Street Speed Hump Menu (2025),ON S BERKELEY AVE FROM E 43RD ST (4300 S) TO E 44TH ST (4400 S),"$4,880.00",4880.0
4,Street Speed Hump Menu (2025),ON S BLACKSTONE AVE FROM E 49TH ST (4900 S) TO E 52ND ST (5200 S),"$12,200.00",12200.0
4,Street Speed Hump Menu (2025),ON S CHAMPLAIN AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4799 S),"$4,880.00",4880.0
4,Street Speed Hump Menu (2025),ON S ELLIS AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S),"$4,880.00",4880.0
4,Street Speed Hump Menu (2025),ON S GREENWOOD AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4800 S),"$4,880.00",4880.0
4,Street Speed Hump Menu (2025),ON S OAKENWALD AVE FROM E 40TH PL (4032 S) TO E 41ST ST (4100 S),"$2,440.00",2440.0
4,Street Speed Hump Menu (2025),ON S VINCENNES AVE FROM E 42ND ST (4200 S) TO E 43RD ST (4299 S),"$4,880.00",4880.0
4,Street Speed Hump Menu (2025),ON S WOODLAWN AVE FROM S LAKE PARK AVE (4440 S) TO E 46TH ST (4625 S),"$12,200.00",12200.0
5,Alley Resurfacing Menu (2025),E 52ND ST & S INGLESIDE AVE&S ELLIS AVE & E 53RD ST,"$29,013.25",29013.25
5,Alley Resurfacing Menu (2025),S BLACKSTONE AVE & E 65TH ST&E 65TH PL & S STONY ISLAND AVE,"$29,911.68",29911.68
5,Alley Speed Hump Replacement (2025),E 52ND ST & S INGLESIDE AVE&S ELLIS AVE & E 53RD ST,$0.00,0.0
5,Sidewalk Menu (2025),1701 E 56TH ST,"$12,066.27",12066.27
5,Sidewalk Menu (2025),2327 E 68TH ST,"$2,868.11",2868.11
5,Sidewalk Menu (2025),6744 S PAXTON AVE,"$9,038.59",9038.59
5,Street Bump Outs Menu (2025),S CORNELL AVE & E 50TH ST,"$16,127.80",16127.8
5,Street Bump Outs Menu (2025),S PAXTON AVE & E 73RD ST,"$29,880.43",29880.43
5,Street Resurfacing Menu (2025),ON E 54TH ST FROM S INGLESIDE AVE (930 E) TO S ELLIS AVE (1000 E),"$36,477.67",36477.67
5,Street Resurfacing Menu (2025),ON E 54TH ST FROM S UNIVERSITY AVE (1140 E) TO S WOODLAWN AVE (1200 E),"$42,228.30",42228.3
5,Street Resurfacing Menu (2025),ON E 56TH ST FROM S UNIVERSITY AVE (1150 E) TO S WOODLAWN AVE (1200 E),"$35,336.90",35336.9
5,Street Resurfacing Menu (2025),ON S CORNELL AVE FROM E 54TH ST (5400 S) TO E 55TH ST (5500 S),"$48,766.13",48766.13
5,Street Resurfacing Menu (2025),ON S CRANDON AVE FROM E 68TH ST (6800 S) TO E 69TH ST (6900 S),"$61,300.86",61300.86
5,Street Resurfacing Menu (2025),ON S CYRIL AVE FROM E 71ST PL (7130 S) TO E 72ND ST (7200 S),"$40,233.73",40233.73
5,Street Resurfacing Menu (2025),ON S DOBSON AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),"$146,468.38",146468.38
5,Street Resurfacing Menu (2025),ON S DORCHESTER AVE FROM E 58TH ST (5800 S) TO E 59TH ST (5900 S),"$51,173.61",51173.61
5,Street Resurfacing Menu (2025),ON S DORCHESTER AVE FROM E 60TH ST (6000 S) TO E 61ST ST (6100 S),"$71,012.40",71012.4
5,Street Resurfacing Menu (2025),ON S ELLIS AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7299 S),"$127,720.15",127720.15
5,Street Resurfacing Menu (2025),ON S EUCLID AVE FROM E 68TH ST (6800 S) TO E 69TH ST (6900 S),"$47,632.67",47632.67
5,Street Resurfacing Menu (2025),ON S EUCLID AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),"$120,843.57",120843.57
5,Street Resurfacing Menu (2025),ON S GREENWOOD AVE FROM E 71ST ST (7100 S) TO E 72ND ST (7200 S),"$57,561.38",57561.38
5,Street Resurfacing Menu (2025),ON S INGLESIDE AVE FROM E 71ST ST (7100 S) TO E 72ND ST (7200 S),"$78,959.23",78959.23
5,Street Resurfacing Menu (2025),ON S LUELLA AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),"$130,632.65",130632.65
5,Street Resurfacing Menu (2025),ON S UNIVERSITY AVE FROM E 60TH ST (6000 S) TO E 61ST ST (6100 S),"$55,665.54",55665.54
5,Street Resurfacing Menu (2025),ON S UNIVERSITY AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),"$155,263.21",155263.21
5,Street Resurfacing Menu (2025),ON S WOODLAWN AVE FROM E 72ND ST (7200 S) TO E 72ND PL (7231 S),"$51,748.52",51748.52
5,Street Speed Hump Menu (2025),ON S DORCHESTER AVE FROM E 54TH ST (5400 S) TO E 55TH ST (5500 S),"$4,880.00",4880.0
5,Street Speed Hump Menu (2025),ON S UNIVERSITY AVE FROM E 73RD ST (7300 S) TO E 74TH ST (7400 S),"$4,880.00",4880.0
5,Street Speed Hump Replacement (2025),ON S CRANDON AVE FROM E 68TH ST (6800 S) TO E 69TH ST (6900 S),$0.00,0.0
5,Street Speed Hump Replacement (2025),ON S DOBSON AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),$0.00,0.0
5,Street Speed Hump Replacement (2025),ON S ELLIS AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7299 S),$0.00,0.0
5,Street Speed Hump Replacement (2025),ON S EUCLID AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),$0.00,0.0
5,Street Speed Hump Replacement (2025),ON S INGLESIDE AVE FROM E 71ST ST (7100 S) TO E 72ND ST (7200 S),$0.00,0.0
5,Street Speed Hump Replacement (2025),ON S LUELLA AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),$0.00,0.0
